"energy-commodities","sectors","indicator","Unit","Date","Value"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2011","1.2"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2012","1.1"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2013","1.2"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2014","0.5"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2015","0.4"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2016","0.4"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2017","0.4"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2018","0.4"
"Total energy commodities","12 Manufacture of tobacco products","Total energy consumption","PJ","2019","0.4"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1990","6.5"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1991","7.5"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1992","7"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1993","8.3"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1994","8.2"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1995","9"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1996","8.3"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1997","9.4"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1998","9.9"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","1999","8.1"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2000","8.3"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2001","7.8"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2002","7.5"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2003","7"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2004","6.2"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2005","5.2"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2006","4.8"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2007","4.8"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2008","4.7"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2009","4.4"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2010","4.9"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2011","4.3"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2012","4.4"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2013","4.4"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2014","3.7"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2015","3.7"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2016","4"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2017","4.1"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2018","3.4"
"Total energy commodities","13-15 Man. of textile-, leatherproducts","Total energy consumption","PJ","2019","4"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","1995","8.1"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","1996","7.2"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","1997","8.2"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","1998","8.6"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","1999","7"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2000","7.3"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2001","7"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2002","6.9"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2003","6.3"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2004","5.5"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2005","4.4"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2006","4.1"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2007","4.1"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2008","3.7"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2009","3.4"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2010","4.3"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2011","3.9"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2012","3.9"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2013","3.9"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2014","3.3"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2015","3.3"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2016","3.4"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2017","3.6"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2018","2.9"
"Total energy commodities","13 Manufacture of textiles","Total energy consumption","PJ","2019","3.6"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","1995","0.4"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","1996","0.5"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","1997","0.4"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","1998","0.6"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","1999","0.5"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2000","0.5"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2001","0.5"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2002","0.5"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2003","0.5"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2004","0.4"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2005","0.6"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2006","0.3"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2007","0.4"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2008","0.7"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2009","0.5"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2010","0.2"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2011","0.2"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2012","0.2"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2013","0.2"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2014","0.1"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2015","0.2"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2016","0.2"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2017","0.2"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2018","0.1"
"Total energy commodities","14 Manufacture of wearing apparel","Total energy consumption","PJ","2019","0.1"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","1995","0.5"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","1996","0.6"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","1997","0.7"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","1998","0.7"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","1999","0.7"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2000","0.6"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2001","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2002","0.2"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2003","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2004","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2005","0.2"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2006","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2007","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2008","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2009","0.4"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2010","0.5"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2011","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2012","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2013","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2014","0.2"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2015","0.2"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2016","0.5"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2017","0.3"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2018","0.4"
"Total energy commodities","15 Manufacture of leather and footwear","Total energy consumption","PJ","2019","0.4"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1990","2.9"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1991","3.1"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1992","3.2"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1993","2.9"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1994","2.9"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1995","3.9"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1996","4"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1997","3.9"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1998","4.2"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","1999","4.3"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2000","4.8"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2001","3.7"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2002","3.7"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2003","3.4"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2004","3.2"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2005","3.5"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2006","3.3"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2007","3.4"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2008","3.2"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2009","3.5"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2010","3.3"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2011","2.9"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2012","2.8"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2013","2.5"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2014","3"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2015","3.1"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2016","3.2"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2017","2.1"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2018","2.6"
"Total energy commodities","16 Manufacture of wood products","Total energy consumption","PJ","2019","2.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1990","36.3"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1991","38.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1992","37.7"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1993","38.7"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1994","39.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1995","39.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1996","42.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1997","43.9"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1998","43.3"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","1999","44"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2000","45.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2001","42.1"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2002","43.8"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2003","42.7"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2004","43.2"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2005","44"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2006","43.8"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2007","40.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2008","38.1"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2009","31.7"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2010","33.2"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2011","31.4"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2012","31"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2013","31"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2014","28.4"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2015","27.2"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2016","26.5"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2017","27.2"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2018","26.8"
"Total energy commodities","17-18 Manufacture of paper and printing","Total energy consumption","PJ","2019","25.1"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","1995","33.6"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","1996","36.2"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","1997","37.4"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","1998","36.3"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","1999","36.7"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2000","38.1"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2001","35.1"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2002","36.8"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2003","35.9"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2004","36"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2005","37"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2006","37.3"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2007","33.6"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2008","30.7"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2009","27.5"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2010","28.8"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2011","27.6"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2012","27.2"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2013","27.8"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2014","25.7"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2015","24.2"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2016","23.3"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2017","24.3"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2018","24.2"
"Total energy commodities","17 Manufacture of paper","Total energy consumption","PJ","2019","23.2"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","1995","6"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","1996","6.3"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","1997","6.5"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","1998","6.9"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","1999","7.3"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2000","7.4"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2001","7"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2002","7"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2003","6.7"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2004","7.3"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2005","7"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2006","6.5"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2007","6.8"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2008","7.4"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2009","4.2"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2010","4.4"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2011","3.8"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2012","3.7"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2013","3.2"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2014","2.7"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2015","2.9"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2016","3.3"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2017","2.9"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2018","2.6"
"Total energy commodities","18 Printing and reproduction","Total energy consumption","PJ","2019","1.9"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1990","694.3"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1991","676.2"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1992","668.6"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1993","646.4"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1994","691.3"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1995","721.3"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1996","731.4"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1997","739.6"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1998","731.3"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","1999","739.9"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2000","743.4"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2001","738.7"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2002","787.3"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2003","862.6"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2004","857.8"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2005","860.1"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2006","845.3"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2007","855.1"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2008","786.3"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2009","781.4"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2010","854.2"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2011","799.8"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2012","834"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2013","802.6"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2014","783.5"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2015","802"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2016","831.2"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2017","860.6"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2018","809.1"
"Total energy commodities","20-21 Chemistry and pharmaceuticals","Total energy consumption","PJ","2019","767.2"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2011","780.2"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2012","814"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2013","783.1"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2014","763.6"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2015","781.3"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2016","811.7"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2017","841.6"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2018","787.1"
"Total energy commodities","201 Manufacture of basic chemicals","Total energy consumption","PJ","2019","745.8"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2011","28.1"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2012","43.8"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2013","41.7"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2014","46.8"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2015","43.4"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2016","43.6"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2017","44.7"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2018","41.4"
"Total energy commodities","2011 Manufacture of industrial gases","Total energy consumption","PJ","2019","46.9"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2011","3.3"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2012","2.7"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2013","2.2"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2014","2"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2015","1.9"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2016","2"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2017","1.7"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2018","2.6"
"Total energy commodities","2012 Manufacture of dyes and pigments","Total energy consumption","PJ","2019","2.4"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","1995","35"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","1996","35.4"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","1997","35.7"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","1998","34.4"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","1999","48"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2000","54.2"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2001","54.5"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2002","52.4"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2003","54.9"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2004","55.8"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2005","55"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2006","55.4"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2007","54.1"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2008","45.4"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2009","41.3"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2010","38.6"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2011","47"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2012","42.7"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2013","38.2"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2014","35.5"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2015","64.3"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2016","58.1"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2017","65.1"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2018","51.1"
"Total energy commodities","2013 Manuf. other inorganic basic chemic","Total energy consumption","PJ","2019","47.8"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","1995","516.1"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","1996","527"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","1997","524.5"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","1998","512.3"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","1999","506.1"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","2000","503.3"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","2001","517.7"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","2002","571.8"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","2003","642.2"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","2004","631.6"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","2005","623.8"
"Total energy commodities","2014 Manufacture organic basic chemicals","Total energy consumption","PJ","2006","607.7"
