"energy-commodities","sectors","indicator","Unit","Date","Value"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2010","33.1"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2011","32.2"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2012","34.2"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2013","40.2"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2014","36.3"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2015","34.7"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2016","34.1"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2017","33.9"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2018","34.4"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2019","29.7"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1990","2855.6"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1991","2961.2"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1992","2942.8"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1993","3008.4"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1994","3014"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1995","3093.7"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1996","3275.3"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1997","3161.5"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1998","3170.9"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","1999","3123"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2000","3145.1"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2001","3219.7"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2002","3242.7"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2003","3355.2"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2004","3394"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2005","3365.8"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2006","3309"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2007","3306.2"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2008","3276.5"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2009","3243.1"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2010","3474.6"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2011","3239.3"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2012","3250.4"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2013","3182.8"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2014","3038.2"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2015","3106.9"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2016","3140"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2017","3151.7"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2018","3096.1"
"Total energy commodities","Total energy sector and final users","Total energy consumption","PJ","2019","3046.7"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1990","177.6"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1991","184.8"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1992","182.1"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1993","198.7"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1994","194.3"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1995","193.7"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1996","198.6"
"Total energy commodities","Manufacture of refined petroleum","Total energy consumption","PJ","1997","197.4"
