EstimateElextricConsumptionCleaned
Timestamp,Date and Time,GUESS
1454803200,2016-02-07T00:00:00,5.47152
1454889600,2016-02-08T00:00:00,5.54499
1454976000,2016-02-09T00:00:00,5.71021
1455062400,2016-02-10T00:00:00,5.83296
1455148800,2016-02-11T00:00:00,6.02627
1455235200,2016-02-12T00:00:00,6.07256
1455321600,2016-02-13T00:00:00,6.04155
1455408000,2016-02-14T00:00:00,6.03135
1455494400,2016-02-15T00:00:00,5.96507
1455580800,2016-02-16T00:00:00,5.8631
1455667200,2016-02-17T00:00:00,5.71525
1455753600,2016-02-18T00:00:00,5.65407
1455840000,2016-02-19T00:00:00,5.64738
1455926400,2016-02-20T00:00:00,5.78117
1456012800,2016-02-21T00:00:00,5.59222
1456099200,2016-02-22T00:00:00,5.58956
1456185600,2016-02-23T00:00:00,5.61071
1456272000,2016-02-24T00:00:00,5.60835
1456358400,2016-02-25T00:00:00,5.52929
1456444800,2016-02-26T00:00:00,5.59292
1456531200,2016-02-27T00:00:00,5.43675
1456617600,2016-02-28T00:00:00,5.56978
1456704000,2016-02-29T00:00:00,5.5987
1456790400,2016-03-01T00:00:00,5.55821
1456876800,2016-03-02T00:00:00,5.75486
1456963200,2016-03-03T00:00:00,5.68546
1457049600,2016-03-04T00:00:00,5.69702
1457136000,2016-03-05T00:00:00,5.85897
1457222400,2016-03-06T00:00:00,5.77623
1457308800,2016-03-07T00:00:00,5.86413
1457395200,2016-03-08T00:00:00,5.87483
1457481600,2016-03-09T00:00:00,5.89154
1457568000,2016-03-10T00:00:00,6.02464
1457654400,2016-03-11T00:00:00,6.05906
1457740800,2016-03-12T00:00:00,5.9521
1457827200,2016-03-13T00:00:00,5.90727
1457913600,2016-03-14T00:00:00,5.88485
1458000000,2016-03-15T00:00:00,5.98573
1458086400,2016-03-16T00:00:00,6.01375
1458172800,2016-03-17T00:00:00,5.86803
1458259200,2016-03-18T00:00:00,5.76243
1458345600,2016-03-19T00:00:00,5.74015
1458432000,2016-03-20T00:00:00,5.89001
1458518400,2016-03-21T00:00:00,5.7814
1458604800,2016-03-22T00:00:00,5.80186
1458691200,2016-03-23T00:00:00,5.73313
1458777600,2016-03-24T00:00:00,5.86057
1458864000,2016-03-25T00:00:00,5.90156
1458950400,2016-03-26T00:00:00,5.97181
1459036800,2016-03-27T00:00:00,5.98352
1459123200,2016-03-28T00:00:00,6.0772
1459209600,2016-03-29T00:00:00,6.20015
1459296000,2016-03-30T00:00:00,6.24698
1459382400,2016-03-31T00:00:00,6.09476
1459468800,2016-04-01T00:00:00,6.05449
1459555200,2016-04-02T00:00:00,6.07924
1459641600,2016-04-03T00:00:00,6.05116
1459728000,2016-04-04T00:00:00,6.18782
1459814400,2016-04-05T00:00:00,6.07201
1459900800,2016-04-06T00:00:00,6.05602
1459987200,2016-04-07T00:00:00,6.18597
1460073600,2016-04-08T00:00:00,6.20958
1460160000,2016-04-09T00:00:00,6.28041
1460246400,2016-04-10T00:00:00,6.43978
1460332800,2016-04-11T00:00:00,6.36305
1460419200,2016-04-12T00:00:00,6.38076
1460505600,2016-04-13T00:00:00,6.39256
1460592000,2016-04-14T00:00:00,6.57375
1460678400,2016-04-15T00:00:00,6.65802
1460764800,2016-04-16T00:00:00,6.6057
1460851200,2016-04-17T00:00:00,6.54576
1460937600,2016-04-18T00:00:00,6.5078
1461024000,2016-04-19T00:00:00,6.55876
1461110400,2016-04-20T00:00:00,6.67501
1461196800,2016-04-21T00:00:00,6.58652
1461283200,2016-04-22T00:00:00,6.57387
1461369600,2016-04-23T00:00:00,6.5802
1461456000,2016-04-24T00:00:00,6.44745
1461542400,2016-04-25T00:00:00,6.39689
1461628800,2016-04-26T00:00:00,6.40321
1461715200,2016-04-27T00:00:00,6.17565
1461801600,2016-04-28T00:00:00,6.08074
1461888000,2016-04-29T00:00:00,6.17545
1461974400,2016-04-30T00:00:00,6.18799
1462060800,2016-05-01T00:00:00,6.33327
1462147200,2016-05-02T00:00:00,6.5228
1462233600,2016-05-03T00:00:00,6.5227
1462320000,2016-05-04T00:00:00,6.7691
1462406400,2016-05-05T00:00:00,6.89551
1462492800,2016-05-06T00:00:00,6.92079
1462579200,2016-05-07T00:00:00,6.94607
1462665600,2016-05-08T00:00:00,6.99664
1462752000,2016-05-09T00:00:00,7.09776
1462838400,2016-05-10T00:00:00,7.14201
1462924800,2016-05-11T00:00:00,6.99417
1463011200,2016-05-12T00:00:00,6.96341
1463097600,2016-05-13T00:00:00,6.98407
1463184000,2016-05-14T00:00:00,7.0256
1463270400,2016-05-15T00:00:00,6.9506
1463356800,2016-05-16T00:00:00,6.82614
1463443200,2016-05-17T00:00:00,6.79648
1463529600,2016-05-18T00:00:00,6.9408
1463616000,2016-05-19T00:00:00,6.8171
1463702400,2016-05-20T00:00:00,6.79648
1463788800,2016-05-21T00:00:00,6.77587
1463875200,2016-05-22T00:00:00,7.08511
1463961600,2016-05-23T00:00:00,7.35999
1464048000,2016-05-24T00:00:00,7.42753
1464134400,2016-05-25T00:00:00,7.34931
1464220800,2016-05-26T00:00:00,7.48378
1464307200,2016-05-27T00:00:00,7.43993
1464393600,2016-05-28T00:00:00,7.40874
1464480000,2016-05-29T00:00:00,7.18078
1464566400,2016-05-30T00:00:00,6.95932
1464652800,2016-05-31T00:00:00,6.8183
1464739200,2016-06-01T00:00:00,6.85356
1464825600,2016-06-02T00:00:00,6.60555
1464912000,2016-06-03T00:00:00,6.36426
1464998400,2016-06-04T00:00:00,6.0456
1465084800,2016-06-05T00:00:00,5.89878
1465171200,2016-06-06T00:00:00,5.76085
1465257600,2016-06-07T00:00:00,5.60417
1465344000,2016-06-08T00:00:00,5.32581
1465430400,2016-06-09T00:00:00,5.45228
1465516800,2016-06-10T00:00:00,5.45047
1465603200,2016-06-11T00:00:00,5.62973
1465689600,2016-06-12T00:00:00,5.48727
1465776000,2016-06-13T00:00:00,5.42679
1465862400,2016-06-14T00:00:00,5.36868
1465948800,2016-06-15T00:00:00,5.41986
1466035200,2016-06-16T00:00:00,5.33797
1466121600,2016-06-17T00:00:00,5.36356
1466208000,2016-06-18T00:00:00,5.37891
1466294400,2016-06-19T00:00:00,5.53757
1466380800,2016-06-20T00:00:00,5.55292
1466467200,2016-06-21T00:00:00,5.68689
1466553600,2016-06-22T00:00:00,5.60404
